dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Tyus.jpg|Meet Tyus. Lives in Guatamala. Working on his English cause he is immigrating to the US soon.|{11, 11, 12, 11}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Barci.png|Meet Barcelona. Big soccer fan. Aspires to be a professional player when she grows up. Inspiring as heck.|{13, 12, 14, 13}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Angus.jpg|Meet Angus. Likes to camouflage as sushi. Stays busy by following his 4-year-old human around.|{11, 13, 12, 12}
cats|https://s3-us-west-1.amazonaws.com/mvp-pets/cat+1.jpg|Meet Oscar. Knows he's gorgeous, but that doesn't mean you should pet him. Please go away.|{-4}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Pistashio.JPG|Meet Pistachio. Super adventurous. Preferred mode of transportation is motorcycle. Vroom vroom.|{13, 14, 14, 13}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Pippy.JPG|Meet Pippy. Chief Happiness Officer at Khan Academy. Likes to make everyone smile when they come by his desk.|{14, 13, 14, 12}
cats|https://s3-us-west-1.amazonaws.com/mvp-pets/cat+2.jpg|Meet Coco. Plotting to escape your presence. Please go away.|{-4}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Alfie.jpg|Meet Alfie. A gentleman and a scholar. Likes to stare into the distance in deep thought. Please don't disturb.|{11, 12, 11, 11}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Bishop+and+Rogue.jpg|Meet Bishop and Rouge. Double as a morning alarm clock. No snooze button, so super effective.|{11, 12, 13, 13}
cats|https://s3-us-west-1.amazonaws.com/mvp-pets/cat+3.jpg|Meet Milo. Whatever you're holding belongs to him. Please return, then go away.|{-4}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Chester.JPG|Meet Chester. Often mistaken for a House Elf. Don't worry though, he has a cushy life and don't want any clothing.|{12, 13, 11, 12}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Oreo.JPG|Meet Oreo. Part time panda and full time napper. Can be found in her dog bed most of the day. Please pet.|{11, 11, 11, 14}
cats|https://s3-us-west-1.amazonaws.com/mvp-pets/cat+4.jpg|Meet Missy. Does not like to be photographed. Please go away.|{-4}
dogs|https://s3-us-west-1.amazonaws.com/mvp-pets/Walter.jpg|Meet Walter. Professional fluffball. Originally was not allowed on furniture, but owners changed their minds. What a surprise.|{14, 14, 13, 14}
cats|https://s3-us-west-1.amazonaws.com/mvp-pets/cat+5.jpg|Meet Max. Likes to contemplate the horribleness of existence. Please go away.|{-4}
