https://s3-us-west-1.amazonaws.com/mvp-pets/Tyus.jpg|Meet Tyus. Lives in Guatamala. Working on his English cause he is immigrating to the US soon.|{11, 11, 12, 11}
https://s3-us-west-1.amazonaws.com/mvp-pets/Barci.png|Meet Barcelona. Big soccer fan. Aspires to be a professional player when she grows up. Inspiring as heck.|{13, 12, 14, 13}
https://s3-us-west-1.amazonaws.com/mvp-pets/Angus.jpg|Meet Angus. Likes to camouflage as sushi. Stays busy by following his 4-year-old human around.|{11, 13, 12, 12}
https://s3-us-west-1.amazonaws.com/mvp-pets/Pistashio.JPG|Meet Pistachio. Super adventurous. Preferred mode of transportation is motorcycle. Vroom vroom.|{13, 14, 14, 13}
https://s3-us-west-1.amazonaws.com/mvp-pets/Pippy.JPG|Meet Pippy. Chief Happiness Officer at Khan Academy. Likes to make everyone smile when they come by his desk.|{14, 13, 14, 12}
https://s3-us-west-1.amazonaws.com/mvp-pets/Alfie.jpg|Meet Alfie. A gentleman and a scholar. Likes to stare into the distance in deep thought. Please don't disturb.|{11, 12, 11, 11}
https://s3-us-west-1.amazonaws.com/mvp-pets/Bishop+and+Rogue.jpg|Meet Bishop and Rouge. Double as a morning alarm clock. No snooze button, so super effective.|{11, 12, 13, 13}
https://s3-us-west-1.amazonaws.com/mvp-pets/Chester.JPG|Meet Chester. Often mistaken for a House Elf. Do not worry though, he has a coushy life and don't want any clothing.|{12, 13, 11, 12}
https://s3-us-west-1.amazonaws.com/mvp-pets/Oreo.JPG|Meet Oreo. Part time panda and full time napper. Can be found in her dog bed most of the day. Please pet.|{11, 11, 11, 14}
https://s3-us-west-1.amazonaws.com/mvp-pets/Walter.jpg|Meet Walter. Professional fluffball. Originally was not allowed on furniture, but owners changed their minds. What a surprise.|{14, 14, 13, 14}
